sequenceId,ecg,annotStr,annotCls
string,int,string,int
S,,,
100,931,N,0
100,935,N,0
100,935,N,0
100,939,N,0
100,943,N,0
100,947,N,0
100,948,N,0
100,951,N,0
100,949,N,0
100,951,N,0
100,951,N,0
100,952,N,0
100,949,N,0
100,948,N,0
100,947,N,0
100,950,N,0
100,952,N,0
100,952,N,0
100,951,N,0
100,947,N,0
100,947,N,0
100,946,N,0
100,947,N,0
100,950,N,0
100,949,N,0
100,946,N,0
100,944,N,0
100,946,N,0
100,948,N,0
100,947,N,0
100,949,N,0
100,949,N,0
100,949,N,0
100,949,N,0
100,954,N,0
100,953,N,0
100,950,N,0
100,947,N,0
100,945,N,0
100,946,N,0
100,947,N,0
100,946,N,0
100,945,N,0
100,944,N,0
100,942,N,0
100,945,N,0
100,945,N,0
100,947,N,0
100,944,N,0
100,943,N,0
100,942,N,0
100,942,N,0
100,944,N,0
100,944,N,0
100,943,N,0
100,936,N,0
100,933,N,0
100,936,N,0
100,939,N,0
100,942,N,0
100,941,N,0
100,937,N,0
100,934,N,0
100,938,N,0
100,940,N,0
100,939,N,0
100,939,N,0
100,938,N,0
100,936,N,0
100,941,N,0
100,942,N,0
100,941,N,0
100,936,N,0
100,933,N,0
100,932,N,0
100,934,N,0
100,935,N,0
100,936,N,0
100,938,N,0
100,940,N,0
100,940,N,0
100,941,N,0
100,943,N,0
100,946,N,0
100,946,N,0
100,945,N,0
100,948,N,0
100,951,N,0
100,951,N,0
100,954,N,0
100,950,N,0
100,950,N,0
100,955,N,0
100,957,N,0
100,961,N,0
100,964,N,0
100,964,N,0
100,961,N,0
100,958,N,0
100,958,N,0
100,959,N,0
100,959,N,0
100,958,N,0
100,955,N,0
100,956,N,0
100,958,N,0
100,956,N,0
100,956,N,0
100,955,N,0
100,960,N,0
100,963,N,0
100,965,N,0
100,962,N,0
100,954,N,0
100,951,N,0
100,948,N,0
100,945,N,0
100,945,N,0
100,943,N,0
100,942,N,0
100,938,N,0
100,937,N,0
100,935,N,0
100,936,N,0
100,935,N,0
100,937,N,0
100,937,N,0
100,933,N,0
100,930,N,0
100,932,N,0
100,934,N,0
100,936,N,0
100,932,N,0
100,932,N,0
100,930,N,0
100,932,N,0
100,931,N,0
100,934,N,0
100,933,N,0
100,933,N,0
100,930,N,0
100,932,N,0
100,935,N,0
100,933,N,0
100,924,N,0
100,916,N,0
100,910,N,0
100,908,N,0
100,902,N,0
100,897,N,0
100,902,N,0
100,917,N,0
100,942,N,0
100,969,N,0
100,991,N,0
100,1014,N,0
100,1035,N,0
100,1063,N,0
100,1098,N,0
100,1137,N,0
100,1165,N,0
100,1187,N,0
100,1207,N,0
100,1213,N,0
100,1199,N,0
100,1139,N,0
100,1058,N,0
100,978,N,0
100,922,N,0
100,902,N,0
100,900,N,0
100,908,N,0
100,918,N,0
100,924,N,0
100,925,N,0
100,924,N,0
100,921,N,0
100,925,N,0
100,926,N,0
100,929,N,0
100,926,N,0
100,923,N,0
100,923,N,0
100,922,N,0
100,924,N,0
100,925,N,0
100,925,N,0
100,922,N,0
100,923,N,0
100,923,N,0
100,926,N,0
100,923,N,0
100,922,N,0
100,921,N,0
100,921,N,0
100,920,N,0
100,923,N,0
100,924,N,0
100,923,N,0
100,922,N,0
100,921,N,0
100,924,N,0
100,922,N,0
100,925,N,0
100,923,N,0
100,919,N,0
100,918,N,0
100,922,N,0
100,922,N,0
100,923,N,0
100,924,N,0
100,919,N,0
100,922,N,0
100,919,N,0
100,922,N,0
100,923,N,0
100,922,N,0
100,922,N,0
100,920,N,0
100,923,N,0
100,925,N,0
100,925,N,0
100,925,N,0
100,922,N,0
100,918,N,0
100,922,N,0
100,923,N,0
100,923,N,0
100,920,N,0
100,919,N,0
100,919,N,0
100,919,N,0
100,921,N,0
100,923,N,0
100,923,N,0
100,919,N,0
100,918,N,0
100,919,N,0
100,919,N,0
100,919,N,0
